日文,假名,中文,类型,
わあ,わあ,哇,感叹词,
ええ,ええ,（应答）嗯，是,感叹词,
長島,ながしま,长岛,专有词,
日本,にほん,日本,专有词,
スワトウ,スワトウ,汕头,专有词,
ロンドン,ロンドン,伦敦,专有词,
ありがとうございます,ありがとうございます,谢谢,惯用语,
おいくつ,おいくつ,多大,惯用语,
,,,,
新标初_03,,,,
デパート,デパート,百货商店,名词,
食堂,しょくどう,食堂,名词,
郵便局,ゆうびんきょく,邮局,名词,
銀行,ぎんこう,银行,名词,
図書館,としょかん,图书馆,名词,
マンション,マンション,（高级）公寓,名词,
ホテル,ホテル,宾馆,名词,
コンビニ,コンビニ,便利店,名词,
喫茶店,きっさてん,咖啡馆,名词,
病院,びょういん,医院,名词,
本屋,ほんや,书店,名词,
レストラン,レストラン,餐馆，西餐馆,名词,
ビル,ビル,大楼，大厦,名词,
建物,たてもの,大楼，建筑物,名词,
売り場,うりば,柜台，出售处,名词,
トイレ,トイレ,厕所，盥洗室,名词,
入り口,いりぐち,入口,名词,
事務所,じむしょ,事务所，办事处,名词,
受付,うけつけ,接待处,名词,
バーゲン会場,バーゲンかいじょう,降价处理大卖场,名词,
エスカレーター,エスカレーター,自动扶梯,名词,
服,ふく,衣服,名词,
コート,コート,风衣，大衣,名词,
デジカメ,デジカメ,数码相机,名词,
国,くに,国，国家,名词,
地図,ちず,地图,名词,
隣,となり,旁边,名词,
周辺,しゅうへん,附近，周边,名词,
今日,きょう,今天,名词,
水曜日,すいようび,星期三,名词,
木曜日,もくようび,星期四,名词,
ここ,ここ,这里，这儿,代词,
そこ,そこ,那里，那儿,代词,
あそこ,あそこ,那里，那儿,代词,
こちら,こちら,这儿，这边,代词,
そちら,そちら,那儿，那边,代词,
あちら,あちら,那儿，那边,代词,
どこ,どこ,哪里，哪儿,代词,
どちら,どちら,哪儿，哪边,代词,
あのう,あのう,请问，对不起,感叹词,
上海,シャンハイ,上海,专有词,
東京,とうきょう,东京,专有词,
いくら,いくら,多少钱,惯用语,
,,,,
新标初_04,,,,
部屋,へや,房间，屋子,名词,
庭,にわ,院子,名词,
家,いえ,家,名词,
居間,いま,起居室,名词,
冷蔵庫,れいぞうこ,冰箱,名词,
壁,かべ,墙壁,名词,
スイッチ,スイッチ,开关,名词,
本棚,ほんだな,书架,名词,
ベッド,ベッド,床,名词,
猫,ねこ,猫,名词,
犬,いぬ,狗,名词,
箱,はこ,盒子，箱子,名词,
眼鏡,めがね,眼镜,名词,
ビデオ,ビデオ,录像机,名词,
サッカーボール,サッカーボール,足球,名词,
ビール,ビール,啤酒,名词,
ウイスキー,ウイスキー,威士忌,名词,
子供,こども,孩子，小孩,名词,
兄弟,きょうだい,兄弟姐妹,名词,
両親,りょうしん,父母，双亲,名词,
妹,いもうと,妹妹,名词,
男,おとこ,男,名词,
女,おんな,女,名词,
生徒,せいと,学生,名词,
上,うえ,上面,名词,
外,そと,外面,名词,
中,なか,里面，内部，中间,名词,
下,した,下面,名词,
前,まえ,前，前面,名词,
後ろ,うしろ,后，后面,名词,
近く,ちかく,附近，近旁,名词,
場所,ばしょ,所在地，地方，场所,名词,
教室,きょうしつ,教室,名词,
会議室,かいぎしつ,会议室,名词,
図書室,としょしつ,图书室,名词,
公園,こうえん,公园,名词,
花屋,はなや,花店,名词,
売店,ばいてん,小卖部，售货亭,名词,
駅,えき,车站,名词,
地下鉄,ちかてつ,地铁,名词,
樹,き,树，树木,名词,
一人暮らし,ひとりぐらし,单身生活,名词,
あります,あります,有，在（非意志者）,动1,
います,います,有，在（具意志者）,动2,
ええと,ええと,啊，嗯,感叹词,
横浜,よこはま,横滨,专有词,
名古屋,なごや,名古屋,专有词,
大阪,おおさか,大阪,专有词,
ＪＲ,ジェーアール,JR,专有词,
,,,,
新标初_05,,,,
今,いま,现在,名词,
先週,せんしゅう,上个星期,名词,
来週,らいしゅう,下个星期,名词,
さ来週,さらいしゅう,下下个星期,名词,
今週,こんしゅう,这个星期,名词,
昨日,きのう,昨天,名词,
明日,あした,明天,名词,
あさって,あさって,后天,名词,
おととい,おととい,前天,名词,
毎日,まいにち,每天，每日,名词,
毎朝,まいあさ,每天早晨,名词,
毎晩,まいばん,每天晚上,名词,
毎週,まいしゅう,每个星期,名词,
午前,ごぜん,上午,名词,
午後/ピーエム,ごご,下午,名词,
日曜日,にちようび,星期日,名词,
月曜日,げつようび,星期一,名词,
火曜日,かようび,星期二,名词,
金曜日,きんようび,星期五,名词,
土曜日,どようび,星期六,名词,
今朝,けさ,今天早晨,名词,
今晩,こんばん,今天晚上,名词,
来年,らいねん,明年,名词,
去年,きょねん,去年,名词,
夜,よる,晚上，夜里，夜晚,名词,
晩,ばん,晚上,名词,
朝,あさ,早晨,名词,
学校,がっこう,学校,名词,
試験,しけん,考试,名词,
仕事,しごと,工作,名词,
遅刻,ちこく,迟到,名词,
休み,やすみ,休息,名词,
出張,しゅっちょう,出差,名词,
研修,けんしゅう,进修,名词,
旅行,りょこう,旅行,名词,
展覧会,てんらんかい,展览会,名词,
歓迎会,かんげいかい,欢迎会,名词,
パーティー,パーティー,联欢会,名词,
お宅,おたく,府上，（您）家,名词,
いつ,いつ,什么时候,代词,
休みます,やすみます,休息,动1,
働きます,はたらきます,工作,动1,
始まります,はじまります,开始,动1,
終わります,おわります,结束,动1,
起きます,おきます,起床,动2,
寝ます,ねます,睡觉,动2,
勉強します,べんきょうします,学习,动3,
いつも,いつも,经常，总是,副词,
北京支社,ペキンししゃ,北京分社,专有词,
神戸,こうべ,神户,专有词,
お早う,おはよう,你早,惯用语,
,,,,
新标初_06,,,,
来月,らいげつ,下个月,名词,
先月,せんげつ,上个月,名词,
夜中,よなか,午夜，半夜,名词,
ゆうべ,ゆうべ,昨天晚上,名词,
コンサート,コンサート,音乐会,名词,
クリスマス,クリスマス,圣诞节,名词,
誕生日,たんじょうび,生日,名词,
こどもの日,こどものひ,儿童节,名词,
夏休み,なつやすみ,暑假,名词,
交通機関,こうつうきかん,交通工具,名词,
新幹線,しんかんせん,新干线,名词,
飛行機,ひこうき,飞机,名词,
フェリー,フェリー,渡轮,名词,
電車,でんしゃ,电车,名词,
バス,バス,公共汽车,名词,
タクシー,タクシー,出租车,名词,
美術館,びじゅつかん,美术馆,名词,
アパート,アパート,公寓,名词,
うち,うち,家,名词,
プール,プール,游泳池,名词,
友達,ともだち,朋友,名词,
弟,おとうと,弟弟,名词,
行きます,いきます,去,动1,
帰ります,かえります,回来，回去,动1,
来ます,きます,来,动3,
たしか,たしか,好像是，大概；的确,副词,
まっすぐ,まっすぐ,径直，笔直,副词,
いっしょに,いっしょに,一起,副词,
佐藤,さとう,佐藤,专有词,
北京,ペキン,北京,专有词,
アメリカ,アメリカ,美国,专有词,
韓国,かんこく,韩国,专有词,
フランス,フランス,法国,专有词,
広島,ひろしま,广岛,专有词,
京都,きょうと,京都,专有词,
北海道,ほっかいどう,北海道,专有词,
箱根,はこね,箱根,专有词,
銀座,ぎんざ,银座,专有词,
渋谷,しぶや,涩谷,专有词,
新宿,しんじゅく,新宿,专有词,
お疲れ様でした,おつかれさまでした,够累的,惯用语,
お先に失礼します,おさきにしつれいします,我先走了，我先告辞了,惯用语,
歩いて,あるいて,步行,惯用语,
大変ですね,たいへんですね,真不容易，够受的，不得了,惯用语,
,,,,
新标初_07,,,,
コーヒー,コーヒー,咖啡,名词,
コーラ,コーラ,可乐,名词,
お茶,おちゃ,茶,名词,
ワイン,ワイン,葡萄酒,名词,
パン,パン,面包,名词,
ケーキ,ケーキ,蛋糕,名词,
お粥,おかゆ,粥,名词,
昼ご飯,ひるごはん,午饭,名词,
お弁当,おべんとう,盒饭,名词,
そば,そば,荞麦面,名词,
うどん,うどん,面条,名词,
親子丼,おやこどん,鸡肉鸡蛋盖饭,名词,
カレー,カレー,咖喱（饭）,名词,
卵,たまご,鸡蛋,名词,
チーズ,チーズ,干酪,名词,
リンゴ,リンゴ,苹果,名词,
イチゴ,イチゴ,草莓,名词,
そば屋,そばや,荞麦面馆,名词,
テニス,テニス,网球,名词,
ジョギング,ジョギング,慢跑，跑步,名词,
サッカー,サッカー,足球,名词,
野球,やきゅう,棒球,名词,
申込書,もうしこみしょ,申请书,名词,
手紙,てがみ,信,名词,
ＣＤ,シーディー,CD,名词,
音楽,おんがく,音乐,名词,
映画,えいが,电影,名词,
動物園,どうぶつえん,动物园,名词,
パンダ,パンダ,熊猫,名词,
飲みます,のみます,喝,动1,
買います,かいます,买,动1,
撮ります,とります,拍照，拍摄,动1,
書きます,かきます,写,动1,
読みます,よみます,读,动1,
聞きます,ききます,听,动1,
食べます,たべます,吃,动2,
見ます,みます,看,动2,
します,します,干，做,动3,
掃除します,そうじします,打扫，扫除,动3,
これから,これから,从现在起，今后,副词,
じゃあ,じゃあ,那么,接续词,
では,では,那么,接续词,
いらっしゃいませ,いらっしゃいませ,欢迎光临,惯用语,
失礼します,しつれいします,告辞了，我走了,惯用语,
失礼しました,しつれいしました,打搅了，失礼了,惯用语,
いってまいります,いってまいります,我走了,惯用语,
いってきます,いってきます,我走了,惯用语,
いってらっしゃい,いってらっしゃい,你走好,惯用语,
ただいま,ただいま,我回来了,惯用语,
お帰りなさい,おかえりなさい,你回来了,惯用语,
かしこまりました,かしこまりました,我知道了,惯用语,
お邪魔します,おじゃまします,打扰了,惯用语,
ください,ください,给我,惯用语,
午前中,ごぜんちゅう,上午,惯用语,
,,,,
新标初_08,,,,
プレゼント,プレゼント,礼物,名词,
チケット,チケット,票,名词,
パンフレット,パンフレット,小册子,名词,
記念品,きねんひん,纪念品,名词,
スケジュール表,スケジュールひょう,日程表,名词,
写真集,しゃしんしゅう,影集,名词,
花,はな,花,名词,
お金,おかね,钱，金钱,名词,
ボールペン,ボールペン,圆珠笔,名词,
宿題,しゅくだい,作业,名词,
航空便,こうくうびん,航空邮件,名词,
速達,そくたつ,速递，快件,名词,
ファックス,ファックス,传真,名词,
メール,メール,邮件,名词,
電話番号,でんわばんごう,电话号码,名词,
住所,じゅうしょ,住址,名词,
名前,なまえ,姓名,名词,
件,けん,事件，事情,名词,
新聞紙,しんぶんし,报纸,名词,
紙飛行機,かみひこうき,纸折的飞机,名词,
チョコレート,チョコレート,巧克力,名词,
アイスクリーム,アイスクリーム,冰激凌,名词,
小麦粉,こむぎこ,面粉,名词,
はし,はし,筷子,名词,
スプーン,スプーン,勺子,名词,
お兄さん,おにいさん,哥哥,名词,
韓国語,かんこくご,韩语,名词,
夕方,ゆうがた,傍晚,名词,
昼休み,ひるやすみ,午休,名词,
もらいます,もらいます,拿到，得到,动1,
会います,あいます,见,动1,
送ります,おくります,寄,动1,
作ります,つくります,做，制造,动1,
太ります,ふとります,胖,动1,
出します,だします,寄（信）,动1,
届きます,とどきます,收到，送到，寄到,动1,
かきます,かきます,画,动1,
貸します,かします,借出，借给,动1,
習います,ならいます,学习,动1,
あげます,あげます,给,动2,
かけます,かけます,打（电话）,动2,
借ります,かります,（向别人）借,动2,
教えます,おしえます,教,动2,
もう,もう,已经,副词,
さっき,さっき,刚才,副词,
たった今,たったいま,刚刚,副词,
もう一度,もういちど,再一次,副词,
前に,まえに,以前,副词,
陳,ちん,陈,专有词,
どうですか,どうですか,怎样，如何,惯用语,
お願いします,おねがいします,拜托了,惯用语,
分かりました,わかりました,明白了,惯用语,
よかったです,よかったです,太好了,惯用语,
,,,,
新标初_09,,,,
料理,りょうり,菜肴，饭菜,名词,
四川料理,しせんりょうり,四川菜,名词,
スープ,スープ,汤,名词,
北京ダック,ペキンダック,北京烤鸭,名词,
食べ物,たべもの,食物，食品,名词,
すき焼き,すきやき,日式牛肉火锅,名词,
温泉,おんせん,温泉,名词,
お湯,おゆ,热水，开水,名词,
水,みず,水，凉水,名词,
浴衣,ゆかた,浴衣，夏季和服,名词,
眺め,ながめ,景色，风景,名词,
薬,くすり,药,名词,
天気,てんき,天气,名词,
海,うみ,大海,名词,
山,やま,山,名词,
紙,かみ,纸,名词,
ニュース,ニュース,新闻,名词,
女性,じょせい,女性,名词,
お客様,おきゃくさま,来宾,名词,
グラス,グラス,玻璃杯,名词,
歌舞伎,かぶき,歌舞伎,名词,
気持ち,きもち,心情,名词,
たくさん,たくさん,很多,名词,
辛い,からい,辣,形容词,
甘い,あまい,甜,形容词,
塩辛い,しおからい,咸,形容词,
しょっぱい,しょっぱい,咸,形容词,
酸っぱい,すっぱい,酸,形容词,
苦い,にがい,苦,形容词,
おいしい,おいしい,好吃，可口,形容词,
まずい,まずい,不好吃，难吃,形容词,
あつい,あつい,热，烫,形容词,
冷たい,つめたい,凉,形容词,
楽しい,たのしい,愉快，快乐,形容词,
おもしろい,おもしろい,有趣，有意思,形容词,
つまらない,つまらない,无聊,形容词,
広い,ひろい,广阔，宽敞,形容词,
狭い,せまい,狭窄,形容词,
大きい,おおきい,大,形容词,
小さい,ちいさい,小,形容词,
忙しい,いそがしい,忙，忙碌,形容词,
いい,いい,好,形容词,
悪い,わるい,不好，坏,形容词,
すばらしい,すばらしい,极好，绝佳,形容词,
遠い,とおい,远,形容词,
近い,ちかい,近,形容词,
高い,たかい,高，贵,形容词,
低い,ひくい,低,形容词,
安い,やすい,便宜,形容词,
寒い,さむい,寒冷,形容词,
暑い,あつい,（天气）热,形容词,
青い,あおい,蓝色的,形容词,
白い,しろい,白色的,形容词,
新しい,あたらしい,新,形容词,
古い,ふるい,旧,形容词,
難しい,むずかしい,难,形容词,
易しい,やさしい,容易,形容词,
多い,おおい,多,形容词,
少ない,すくない,少,形容词,
かわいい,かわいい,可爱,形容词,
本当に,ほんとうに,真的，实在是,副词,
あまり,あまり,不（太）～，不很～,副词,
とても,とても,很，非常,副词,
たいへん,たいへん,很，非常,副词,
少し,すこし,一点儿,副词,
ちょっと,ちょっと,一点儿,副词,
全然,ぜんぜん,根本,副词,
ちょうど,ちょうど,正好，恰好,副词,
あら,あら,哎呀，咦,感叹词,
あれ,あれ,哎呀，咦,感叹词,
ああ,ああ,啊,感叹词,
天安門,てんあんもん,天安门,专有词,
万里の長城,ばんりのちょうじょう,万里长城,专有词,
気持ちがいい,きもちがいい,感觉舒服，心情愉快,惯用语,
,,,,
新标初_10,,,,
紅葉,もみじ,红叶,名词,
故郷,こきょう,故乡,名词,
通り,とおり,大街,名词,
町,まち,城市，街道,名词,
所,ところ,场所,名词,
お店,おみせ,餐馆；商店,名词,
人形,にんぎょう,玩偶,名词,
作品,さくひん,作品,名词,
彫刻,ちょうこく,雕刻,名词,
自動車,じどうしゃ,汽车,名词,
道具,どうぐ,工具,名词,
魚,さかな,鱼,名词,
お菓子,おかし,点心,名词,
物,もの,物品，东西,名词,
シーズン,シーズン,季节,名词,
修学旅行,しゅうがくりょこう,修学旅行,名词,
観光客,かんこうきゃく,游客,名词,
作家,さっか,作家,名词,
部長,ぶちょう,部长,名词,
平日,へいじつ,平日，非休息日,名词,
日,ひ,日子,名词,
生活,せいかつ,生活,名词,
世界,せかい,世界,名词,
晴れ,はれ,晴天,名词,
雨,あめ,雨，下雨,名词,
曇り,くもり,阴天,名词,
雪,ゆき,雪,名词,
汚い,きたない,脏,形容词,
きれい,きれい,漂亮，干净,形容动词,
有名,ゆうめい,有名,形容动词,
にぎやか,にぎやか,热闹，繁华,形容动词,
静か,しずか,安静,形容动词,
暇,ひま,空闲,形容动词,
親切,しんせつ,热情,形容动词,
好き,すき,喜欢,形容动词,
嫌い,きらい,讨厌,形容动词,
便利,べんり,方便,形容动词,
不便,ふべん,不方便,形容动词,
元気,げんき,健康，有精神,形容动词,
簡単,かんたん,简单,形容动词,
ハンサム,ハンサム,英俊，帅气,形容动词,
どんな,どんな,什么样的，怎样的,代词,
どう,どう,怎样，如何,副词,
いかが,いかが,如何,副词,
いろいろ,いろいろ,各种各样,副词,
でも,でも,可是，不过,接续词,
そして,そして,而且，于是,接续词,
ところで,ところで,（转换话题）哎,接续词,
あれえ,あれえ,咦,感叹词,
奈良,なら,奈良,专有词,
富士山,ふじさん,富士山,专有词,
もう少し,もうすこし,再～一点,惯用语,
,,,,
新标初_11,,,,
歌,うた,歌，歌曲,名词,
カラオケ,カラオケ,卡拉OK,名词,
ロック,ロック,摇滚乐,名词,
ポップス,ポップス,流行音乐,名词,
クラシック,クラシック,西方古典音乐,名词,
ピアノ,ピアノ,钢琴,名词,
絵,え,画儿,名词,
英語,えいご,英语,名词,
スペイン語,スペインご,西班牙语,名词,
スポーツ,スポーツ,体育，运动,名词,
水泳,すいえい,游泳,名词,
ゴルフ,ゴルフ,高尔夫球,名词,
運転,うんてん,开车,名词,
飲み物,のみもの,饮料,名词,
お酒,おさけ,酒，酒类,名词,
肉,にく,肉,名词,
野菜,やさい,蔬菜,名词,
果物,くだもの,水果,名词,
ヒマワリ,ヒマワリ,向日葵,名词,
バラ,バラ,蔷薇，玫瑰,名词,
コンピュータ,コンピュータ,计算机，电脑,名词,
窓,まど,窗，窗户,名词,
結婚式,けっこんしき,结婚典礼,名词,
写真展,しゃしんてん,摄影展,名词,
旅館,りょかん,旅馆，旅店,名词,
別荘,べっそう,别墅,名词,
寄木細工,よせぎざいく,木片儿拼花工艺品,名词,
模様,もよう,花纹，纹案,名词,
外国,がいこく,外国,名词,
会議,かいぎ,会议,名词,
脚,あし,腿,名词,
僕,ぼく,我（男性自称）,代词,
分かります,わかります,懂，明白,动1,
迷います,まよいます,犹豫，难以决定,动1,
できます,できます,会；能；完成,动2,
閉めます,しめます,关闭，关门,动2,
疲れます,つかれます,疲倦，疲惫,动2,
散歩します,さんぽします,散步,动3,
怖い,こわい,害怕，恐怖,形容词,
赤い,あかい,红,形容词,
痛い,いたい,疼，疼痛,形容词,
上手,じょうず,擅长，高明，水平高,形容动词,
下手,へた,不高明，水平低,形容动词,
苦手,にがて,不擅长，不善于,形容动词,
時々,ときどき,有时，时不时,副词,
よく,よく,经常，常常,副词,
たまに,たまに,偶尔，很少,副词,
また,また,还，再，又,副词,
どうして,どうして,为什么,副词,
だから,だから,所以，因此（简）,接续词,
ですから,ですから,所以，因此（礼貌）,接续词,
うーん,うーん,嗯……，这个……,感叹词,
結構です,けっこうです,不用，不要,惯用语,
気に入ります,きにいります,喜欢，中意,惯用语,
など,など,等等,副助,
,,,,
新标初_12,,,,
季節,きせつ,季节,名词,
冬,ふゆ,冬天，冬季,名词,
春,はる,春天，春季,名词,
日本料理,にほんりょうり,日式饭菜,名词,
寿司,すし,寿司,名词,
ナシ,ナシ,梨,名词,
バナナ,バナナ,香蕉,名词,
ミカン,ミカン,橘子,名词,
焼酎,しょうちゅう,烧酒,名词,
日本酒,にほんしゅ,日本酒,名词,
紅茶,こうちゃ,红茶,名词,
ウーロン茶,ウーロンちゃ,乌龙茶,名词,
ジャスミン茶,ジャスミンちゃ,茉莉花茶,名词,
緑茶,りょくちゃ,绿茶,名词,
ジュース,ジュース,果汁,名词,
人気,にんき,声望，受欢迎,名词,
席,せき,座位，席位,名词,
クラス,クラス,班级,名词,
種類,しゅるい,种类,名词,
背,せ,个子,名词,
兄,あに,哥哥，兄长,名词,
最近,さいきん,最近，近来,名词,
降ります,ふります,下（雨，雪），降（雨，雪）,动1,
若い,わかい,年轻,形容词,
暖かい,あたたかい,暖和，温暖,形容词,
涼しい,すずしい,凉爽,形容词,
速い,はやい,快,形容词,
大好き,だいすき,非常喜欢,形容动词,
いちばん,いちばん,最，第一,副词,
ずっと,ずっと,～得多,副词,
やはり,やはり,仍然，还是,副词,
やっぱり,やっぱり,仍然，还是,副词,
エベレスト,エベレスト,珠穆朗玛峰,专有词,
人気があります,にんきがあります,受欢迎,惯用语,
,,,,
新标初_13,,,,
荷物,にもつ,包裹,名词,
はがき,はがき,明信片,名词,
切手,きって,邮票,名词,
引き出し,ひきだし,抽屉,名词,
アルバム,アルバム,相册,名词,
タバコ,タバコ,烟，烟草,名词,
漫画,まんが,漫画,名词,
ガレージ,ガレージ,车库，汽车房,名词,
修理,しゅうり,修理,名词,
居酒屋,いざかや,酒馆,名词,
生ビール,なまビール,生啤,名词,
焼き鳥,やきとり,烤鸡肉串,名词,
唐揚げ,からあげ,炸鸡，油炸食品,名词,
肉じゃが,にくじゃが,土豆炖肉,名词,
ボーリング,ボーリング,保龄球,名词,
髪,かみ,头发,名词,
象,ぞう,象，大象,名词,
昼,ひる,白天，中午,名词,
ほか,ほか,另外，其他,名词,
かかります,かかります,花费（时间，金钱）,动1,
咲きます,さきます,花开,动1,
泳ぎます,およぎます,游泳,动1,
遊びます,あそびます,玩，玩耍,动1,
吸います,すいます,吸（烟）,动1,
切ります,きります,剪，切，割,动1,
だいたい,だいたい,大约，大概，大体,副词,
とりあえず,とりあえず,暂且,副词,
どのぐらい,どのぐらい,多久，多少钱,惯用语,
どれぐらい,どれぐらい,多久，多少钱,惯用语,
,,,,
新标初_14,,,,
船便,ふなびん,海运,名词,
書類,しょるい,文件，文稿,名词,
原稿,げんこう,稿子，原稿,名词,
記事,きじ,报道,名词,
メモ,メモ,记录,名词,
駅前,えきまえ,车站一带,名词,
橋,はし,桥，桥梁,名词,
角,かど,拐角,名词,
横断歩道,おうだんほどう,人行横道,名词,
右,みぎ,右，右边,名词,
左,ひだり,左，左边,名词,
交差点,こうさてん,十字路口,名词,
道,みち,路，道路,名词,
ドア,ドア,门,名词,
電気,でんき,电，电力,名词,
太極拳,たいきょくけん,太极拳,名词,
朝ご飯,あさごはん,早饭,名词,
晩ご飯,ばんごはん,晚饭,名词,
バーベキュー,バーベキュー,户外烧烤,名词,
通ります,とおります,通过，经过,动1,
急ぎます,いそぎます,急，急忙,动1,
飛びます,とびます,飞，飞行,动1,
死にます,しにます,死，死亡,动1,
待ちます,まちます,等待，等候,动1,
売ります,うります,卖，销售,动1,
話します,はなします,说话，说,动1,
渡ります,わたります,过（桥，河），穿过（马路）,动1,
下ろします,おろします,取，卸货,动1,
選びます,えらびます,挑选，选择,动1,
消します,けします,关（灯），消除，去除,动1,
歩きます,あるきます,步行，行走,动1,
曲がります,まがります,拐弯，曲折,动1,
洗います,あらいます,洗，洗涤,动1,
出ます,でます,离开,动2,
出かけます,でかけます,外出，出门,动2,
開けます,あけます,开，打开，开启,动2,
過ぎます,すぎます,过,动2,
見せます,みせます,给～看；出示,动2,
つけます,つけます,开（灯）,动2,
降ります,おります,下（车，山）,动2,
買い物します,かいものします,买东西,动3,
卒業します,そつぎょうします,毕业,动3,
食事します,しょくじします,吃饭，用餐,动3,
整理します,せいりします,整理,动3,
コピーします,コピーします,复印,动3,
暗い,くらい,黑暗，昏暗,形容词,
大変,たいへん,够受的，不得了,形容动词,
なかなか,なかなか,相当，很，非常,副词,
こう,こう,这样，如此,副词,
そう/ああ,そう/ああ,那样,副词,
後で,あとで,过会儿,副词,
それから,それから,然后,接续词,
すみませんが,すみませんが,对不起……，劳驾……,惯用语,
,,,,
新标初_15,,,,
ボート,ボート,小船，小艇,名词,
ベンチ,ベンチ,长椅，长凳,名词,
市役所,しやくしょ,市政府,名词,
携帯電話,けいたいでんわ,手机,名词,
禁煙,きんえん,禁止吸烟,名词,
風邪,かぜ,感冒,名词,
熱,ねつ,发烧，体温,名词,
睡眠,すいみん,睡眠,名词,
お風呂,おふろ,澡堂，浴室,名词,
薬局,やっきょく,药店,名词,
クーラー,クーラー,空调,名词,
火,ひ,火,名词,
気,き,精神，意识,名词,
打ち合わせ,うちあわせ,事先商量，碰头，商洽,名词,
無理,むり,勉强，难以办到,名词,
駐車禁止,ちゅうしゃきんし,禁止停车,名词,
立入禁止,たちいりきんし,禁止进入,名词,
火気厳禁,かきげんきん,严禁烟火,名词,
撮影禁止,さつえいきんし,禁止拍照,名词,
乗ります,のります,乘坐，乘,动1,
使います,つかいます,用，使用,动1,
座ります,すわります,坐，落座,动1,
入ります,はいります,进入，加入,动1,
申します,もうします,是，说，讲，告诉,动1,
とります,とります,取，取得,动1,
歌います,うたいます,唱，歌唱,动1,
伝えます,つたえます,说，传达，转告,动2,
止めます,とめます,停，制止,动2,
暖かい,あたたかい,热乎，温暖,形容词,
